preferred_task,quality_score,title,description,type_of_task,priority_level,due_date,workload
Conceptual Design,0.71,Technical Specifications,Compile technical specifications for the construction phase.,3D Model,Low,2025-04-14,7
3D Model,0.98,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Construction Document,Low,2025-04-14,10
Interior Layout Plan,0.99,Structural Coordination,Coordinate with the structural engineer for beam placements.,Roof Plan,Neutral,2025-04-27,3
Permit Drawing,0.81,Technical Specifications,Compile technical specifications for the construction phase.,Lighting & Fixture Plan,High,2025-04-11,1
Conceptual Design,0.87,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,3D Render,Neutral,2025-05-10,1
Hardscape Plan,0.6,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Reflected Ceiling Plan,Neutral,2025-04-24,7
Finish Schedule,0.61,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Elevation Drawing,Low,2025-04-22,5
Virtual Reality,0.72,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Partition Plan,Neutral,2025-04-13,6
Construction Document,0.66,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,3D Model,Low,2025-05-06,8
3D Model,0.67,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Reflected Ceiling Plan,Low,2025-05-02,10
Roof Plan,0.9,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Zoning & Building Code Compliance,Low,2025-05-08,1
Design Development,0.7,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Design Development,Low,2025-05-06,1
Partition Plan,0.97,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Hardscape Plan,High,2025-04-27,9
Roof Plan,0.75,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Door & Window Schedule,Neutral,2025-04-22,3
Door & Window Schedule,0.6,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Roof Plan,Neutral,2025-04-21,1
Custom Millwork & Joinery Drawing,0.7,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Permit Drawing,High,2025-05-08,3
Others,0.67,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Technical Specification,Neutral,2025-04-24,4
Section Drawing,0.93,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Landscape Plan,High,2025-04-22,3
Landscape Plan,0.69,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Landscape Plan,High,2025-04-13,7
Landscape Plan,0.97,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Elevation Drawing,Low,2025-04-29,4
Roof Plan,0.99,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,3D Render,Low,2025-05-01,1
Hardscape Plan,0.92,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,3D Render,High,2025-05-06,3
Furniture Layout Plan,0.67,Landscape Design Refinement,Enhance the planting layout for the residential garden.,General Specification,High,2025-04-13,2
Others,0.63,Structural Coordination,Coordinate with the structural engineer for beam placements.,Hardscape Plan,Neutral,2025-05-07,3
Lighting & Fixture Plan,0.9,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Zoning & Building Code Compliance,Neutral,2025-05-09,9
Partition Plan,0.97,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Technical Specification,Low,2025-04-11,4
Custom Millwork & Joinery Drawing,0.75,Technical Specifications,Compile technical specifications for the construction phase.,Roof Plan,High,2025-05-09,6
Virtual Reality,0.93,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,General Specification,Low,2025-04-26,9
Site Plan,0.67,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Custom Millwork & Joinery Drawing,High,2025-04-15,10
Partition Plan,0.66,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Technical Specification,Neutral,2025-04-22,10
Material Board,0.78,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Site Plan,Low,2025-05-09,10
3D Render,0.64,Construction Documentation,Compile detailed construction drawings for city permit approval.,Landscape Plan,High,2025-05-10,1
Section Drawing,0.75,Construction Documentation,Compile detailed construction drawings for city permit approval.,Site Plan,Neutral,2025-04-13,10
Technical Specification,0.93,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Roof Plan,Low,2025-04-16,10
Lighting & Fixture Plan,0.94,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Virtual Reality,Low,2025-04-16,6
Partition Plan,0.8,Technical Specifications,Compile technical specifications for the construction phase.,Door & Window Schedule,High,2025-04-28,8
Schematic Design,0.9,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Furniture Layout Plan,High,2025-04-23,8
Section Drawing,0.65,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Section Drawing,Neutral,2025-04-18,10
Lighting & Fixture Plan,0.87,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Construction Document,High,2025-05-10,8
Permit Drawing,0.89,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Landscape Plan,Neutral,2025-04-16,10
Site Plan,0.76,Permit Drawing Submission,Prepare and submit permit drawings for approval.,General Specification,Neutral,2025-04-25,0
Construction Document,0.67,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Material Board,Low,2025-04-24,9
Conceptual Design,0.9,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Conceptual Design,Neutral,2025-05-08,3
Construction Document,0.91,Technical Specifications,Compile technical specifications for the construction phase.,Conceptual Design,Neutral,2025-04-21,10
Floor Plan,0.71,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Zoning & Building Code Compliance,Low,2025-04-17,7
Landscape Plan,0.63,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Elevation Drawing,Neutral,2025-05-04,1
Zoning & Building Code Compliance,0.6,Construction Documentation,Compile detailed construction drawings for city permit approval.,General Specification,High,2025-04-20,7
Virtual Reality,0.61,Technical Specifications,Compile technical specifications for the construction phase.,Landscape Plan,High,2025-05-04,1
Construction Document,0.82,Technical Specifications,Compile technical specifications for the construction phase.,Zoning & Building Code Compliance,Low,2025-04-20,3
Floor Plan,0.88,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,3D Render,Low,2025-05-10,9
3D Model,0.65,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,General Specification,High,2025-05-06,7
Floor Plan,0.64,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Elevation Drawing,Neutral,2025-04-12,3
Construction Document,0.99,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Hardscape Plan,Low,2025-04-16,6
Landscape Plan,0.95,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Reflected Ceiling Plan,Neutral,2025-05-04,8
Landscape Plan,0.93,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Lighting & Fixture Plan,Neutral,2025-04-27,4
Landscape Plan,0.86,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Hardscape Plan,High,2025-05-01,8
Section Drawing,0.76,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,General Specification,High,2025-04-11,6
Hardscape Plan,0.61,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Furniture Layout Plan,Low,2025-04-16,0
Technical Specification,0.99,Structural Coordination,Coordinate with the structural engineer for beam placements.,Interior Layout Plan,High,2025-04-30,7
Material Board,0.96,Structural Coordination,Coordinate with the structural engineer for beam placements.,Virtual Reality,Neutral,2025-04-19,9
Custom Millwork & Joinery Drawing,0.8,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,3D Model,Low,2025-04-22,1
Interior Layout Plan,0.69,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Partition Plan,Neutral,2025-04-20,4
Others,0.77,Structural Coordination,Coordinate with the structural engineer for beam placements.,Interior Layout Plan,High,2025-04-29,3
Furniture Layout Plan,0.68,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Finish Schedule,Low,2025-04-24,5
Elevation Drawing,0.85,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Technical Specification,High,2025-04-27,3
Technical Specification,0.76,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Section Drawing,High,2025-04-11,10
Lighting & Fixture Plan,0.79,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Door & Window Schedule,Low,2025-04-20,8
Section Drawing,0.67,Structural Coordination,Coordinate with the structural engineer for beam placements.,Partition Plan,Low,2025-04-16,7
Construction Document,0.99,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Technical Specification,Low,2025-04-27,2
Conceptual Design,0.74,Technical Specifications,Compile technical specifications for the construction phase.,Material Board,Low,2025-05-03,0
Site Plan,0.66,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Conceptual Design,Low,2025-04-13,7
Finish Schedule,0.63,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Virtual Reality,Low,2025-04-27,9
Technical Specification,0.89,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Floor Plan,High,2025-04-27,4
Section Drawing,0.68,Technical Specifications,Compile technical specifications for the construction phase.,Door & Window Schedule,High,2025-04-14,10
Interior Layout Plan,0.95,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Elevation Drawing,High,2025-05-02,8
Landscape Plan,0.68,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Landscape Plan,Neutral,2025-04-26,6
Section Drawing,0.99,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Technical Specification,Neutral,2025-04-22,1
Lighting & Fixture Plan,0.94,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Reflected Ceiling Plan,Low,2025-04-14,5
Zoning & Building Code Compliance,0.92,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Roof Plan,Low,2025-04-24,7
Material Board,0.89,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Partition Plan,Low,2025-04-28,0
Furniture Layout Plan,0.72,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Section Drawing,High,2025-04-11,2
Construction Document,0.71,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Site Plan,Low,2025-04-11,0
3D Model,0.7,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Design Development,Neutral,2025-04-30,3
Permit Drawing,0.8,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Finish Schedule,Low,2025-04-14,6
Reflected Ceiling Plan,0.62,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Permit Drawing,Low,2025-05-10,0
